Address,PermitNumber,Units
"5005 ASH STREET, Vancouver, BC V5Z 3G3",BP-2021-02114,31
"4985 QUEBEC STREET, Vancouver, BC V5W 2N3",BP-2017-06127,36
"620 CARDERO STREET, Vancouver, BC V6G 0C7",BP-2016-02588,120
"668 W 41ST AVENUE, Vancouver, BC",BP-2022-02447,474
"5058 JOYCE STREET, Vancouver, BC V5R 4G6",BP-2017-02843,256
"1043 W KING EDWARD AVENUE, Vancouver, BC V6H 1Z3",BP-2017-06543,36
"1033 NELSON STREET, Vancouver, BC V1V 1V1",BP-2018-00309,331
"5931 CAMBIE STREET, Vancouver, BC",BP-2019-05239,286
"188 E 6TH AVENUE, Vancouver, BC V5T 1J5",BP-2018-02624,145
"2021 CYPRESS STREET, Vancouver, BC V6J 1M4",BP-2019-04033,24
"1568 ALBERNI STREET, Vancouver, BC V6G 1A5",BP-2017-03055,191
"1988 WYLIE STREET, Vancouver, BC V5Y 3N6",DB-2018-04050,2
"6340 OAK STREET, Vancouver, BC",BP-2022-00236,7
"6314 OAK STREET, Vancouver, BC",BP-2022-00230,4
"6312 OAK STREET, Vancouver, BC",BP-2022-00229,3
"6288 OAK STREET, Vancouver, BC V6M 2W4",BP-2022-00228,3
"2895 E 10TH AVENUE, Vancouver, BC V5M 2B2",BP-2020-02038,103
"3245 PIERVIEW CRESCENT, Vancouver, BC V1V 1V1",BP-2017-04946,51
"90 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2020-02211,11
"92 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2020-02210,6
"80 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2020-02212,10
"76 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2020-02213,3
"94 W KING EDWARD AVENUE, Vancouver, BC V5Y 2K7",BP-2020-02209,11
"475 W 28TH AVENUE, Vancouver, BC V5Y 2K9",BP-2021-01182,50
"471 W 28TH AVENUE, Vancouver, BC",BP-2021-05439,6
"6288 OAK STREET, Vancouver, BC V6M 2W4",BP-2020-02562,63
"209 E 7TH AVENUE, Vancouver, BC V5T 0B8",BU467245,89
"1021 BURNABY STREET, Vancouver, BC V1V 1V1",BP-2018-03275,21
"1582 VERNON DRIVE, Vancouver, BC",BP-2020-04030,46
"3669 W 11TH AVENUE, Vancouver, BC V6R 2K4",BU465392,5
"1371 E 21ST AVENUE, Vancouver, BC",BP-2021-05478,8
"1355 E 21ST AVENUE, Vancouver, BC V5V 1T1",BP-2021-05477,8
"733 W 14TH AVENUE, Vancouver, BC V5Z 1P8",BP-2017-00511,67
"6933 CAMBIE STREET, Vancouver, BC V6P 3H1",BP-2017-01021,24
"1335 HOWE STREET, Vancouver, BC V6Z 1R7",BP-2017-00817,240
"989 W 67TH AVENUE, Vancouver, BC V6P 6S4",BP-2021-06340,60
"428 W PENDER STREET, Vancouver, BC V6B 1T5",BP-2017-03981,60
"510 RICHARDS STREET, Vancouver, BC V1V 1V1",BP-2017-03982,60
"8559 JACK UPPAL STREET, Vancouver, BC",BP-2021-04595,36
"3338 SAWMILL CRESCENT, Vancouver, BC",BP-2021-04594,132
"4240 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2020-00383,58
"6503 FREMLIN STREET, Vancouver, BC V6P 3W1",BP-2021-02057,7
"6778 OAK STREET, Vancouver, BC V6P 3Z2",BP-2021-01974,23
"3156 KINGS AVENUE, Vancouver, BC V5R 4T4",BP-2019-04596,3
"3128 KINGS AVENUE, Vancouver, BC V5R 4T4",BP-2019-00248,3
"529 E 6TH AVENUE, Vancouver, BC V5T 1K9",BP-2018-02007,5
"550 E BROADWAY, Vancouver, BC V5T 1X5",BP-2018-05700,25
"7777 CAMBIE STREET, Vancouver, BC V6P 3H9",BP-2017-03790,32
"2725 DUKE STREET, Vancouver, BC V5R 4S8",BP-2018-02288,4
"3588 HULL STREET, Vancouver, BC V5N 4R9",BP-2020-01661,21
"3588 HULL STREET, Vancouver, BC V5N 4R9",BP-2019-02299,68
"7833 COLUMBIA STREET, Vancouver, BC V1V 1V1",BP-2018-05057,21
"531 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-03878,30
"531 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05676,3
"2366 BIRCH STREET, Vancouver, BC V1V 1V1",BP-2020-00037,12
"1299 W 8TH AVENUE, Vancouver, BC V6H 1C7",BP-2020-00041,2
"567 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05682,4
"523 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05675,4
"2121 W 7TH AVENUE, Vancouver, BC V6K 1X9",BP-2019-04338,6
"2121 W 7TH AVENUE, Vancouver, BC V6K 1X9",BP-2019-03734,6
"7303 GRANVILLE STREET, Vancouver, BC V6P 0G5",BP-2017-01700,5
"1508 W 57TH AVENUE, Vancouver, BC V6P 1T2",BP-2017-01710,4
"7319 GRANVILLE STREET, Vancouver, BC V6P 0G5",BP-2017-01711,3
"630 E BROADWAY, Vancouver, BC V5T 1X6",BU468027,2
"5656 VICTORIA DRIVE, Vancouver, BC V5P 3W4",BP-2016-04204,46
"1783 W 14TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-02976,116
"150 W WOODSTOCK AVENUE, Vancouver, BC V1V 1V1",BP-2018-01296,24
"1027 VICTORIA DRIVE, Vancouver, BC V5L 2K9",BP-2016-02914,4
"6328 CAMBIE STREET, Vancouver, BC V5Z 3B4",BP-2018-05500,48
"978 PARK DRIVE, Vancouver, BC V1V 1V1",BP-2019-03402,5
"7858 OAK STREET, Vancouver, BC V6P 4A5",BP-2019-03403,5
"2031 YORK AVENUE, Vancouver, BC V1V 1V1",BP-2017-06030,4
"8381 FRENCH STREET, Vancouver, BC V6P 4W3",BP-2019-04758,4
"1534 HENSHAW LANE, Vancouver, BC V6G 0B9",BP-2017-01196,17
"1031 CARDERO STREET, Vancouver, BC V1V 1V1",BP-2017-01185,10
"7433 CAMBIE STREET, Vancouver, BC V6P 0J8",BP-2020-02013,2
"7418 PAULSON STREET, Vancouver, BC V6P 0K2",BP-2020-02014,2
"7433 CAMBIE STREET, Vancouver, BC V6P 0J8",BP-2018-03276,477
"4188 YEW STREET, Vancouver, BC V1V 1V1",BU467375,215
"1010 E 7TH AVENUE, Vancouver, BC V5T 1P7",BP-2017-00506,3
"2516 W 3RD AVENUE, Vancouver, BC V6K 1M1",BP-2018-04888,3
"2482 W 7TH AVENUE, Vancouver, BC V6K 1Y7",BP-2018-04849,3
"5069 EARLES STREET, Vancouver, BC V5R 3R8",BU467601,8
"438 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J4",BP-2016-00237,56
"4480 KASLO STREET, Vancouver, BC V5R 2B7",BP-2018-00948,52
"7430 HEATHER STREET, Vancouver, BC V6P 0H4",BP-2017-05712,39
"3090 E 54TH AVENUE, Vancouver, BC V5S 1Y5",BU467505,31
"1101 W 7TH AVENUE, Vancouver, BC V1V 1V1",BU467658,4
"3795 COMMERCIAL STREET, Vancouver, BC V5N 4G1",BU467787,9
"1018 PARK DRIVE, Vancouver, BC V6P 2J5",BU468678,40
"1018 PARK DRIVE, Vancouver, BC V6P 2J5",BU468738,40
"7883 OAK STREET, Vancouver, BC V1V 1V1",BU468740,40
"7901 OAK STREET, Vancouver, BC V1V 1V1",BU468741,40
"2232 E 1ST AVENUE, Vancouver, BC",BP-2021-04400,9
"2085 E 1ST AVENUE, Vancouver, BC",BP-2021-00913,8
